city_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
0,khatanga,71.97,102.5,63.37,scattered clouds,0,0.0,55,8.3,8.3,RU
1,avarua,-21.21,-159.78,75.2,clear sky,0,0.0,64,6.93,6.93,CK
2,busselton,-33.65,115.33,61.0,broken clouds,0,0.0,90,15.21,15.21,AU
3,rio grande,-32.03,-52.1,43.0,overcast clouds,0,0.0,94,8.37,8.37,BR
4,rikitea,-23.12,-134.97,73.85,overcast clouds,0,0.0,80,14.45,14.45,PF
5,comodoro rivadavia,-45.87,-67.5,30.2,clear sky,0,0.0,80,9.17,9.17,AR
6,bredasdorp,-34.53,20.04,53.6,clear sky,0,0.0,66,8.05,8.05,ZA
7,mataura,-46.19,168.86,49.24,broken clouds,0,0.0,64,2.48,2.48,NZ
8,hilo,19.73,-155.09,82.4,broken clouds,0,0.0,65,10.29,10.29,US
9,port elizabeth,-33.92,25.57,51.8,clear sky,0,0.0,66,4.7,4.7,ZA
10,tuktoyaktuk,69.45,-133.04,37.4,light rain,0,0.0,93,14.99,14.99,CA
11,narsaq,60.92,-46.05,50.0,broken clouds,0,0.0,71,5.82,5.82,GL
12,yatou,37.15,122.38,80.92,scattered clouds,0,0.0,60,4.23,4.23,CN
13,maunabo,18.01,-65.9,82.99,broken clouds,0,0.0,85,5.99,5.99,PR
14,surin,14.88,103.49,80.6,broken clouds,0,0.0,88,4.7,4.7,TH
15,dakar,14.69,-17.44,78.8,scattered clouds,0,0.0,83,6.93,6.93,SN
16,jingdezhen,29.29,117.21,81.09,light rain,0,0.39,87,5.97,5.97,CN
17,yellowknife,62.46,-114.35,68.0,scattered clouds,0,0.0,45,2.24,2.24,CA
18,norman wells,65.28,-126.83,69.8,broken clouds,0,0.0,37,13.87,13.87,CA
19,livny,52.43,37.61,56.5,clear sky,0,0.0,91,2.89,2.89,RU
20,thompson,55.74,-97.86,66.2,light intensity shower rain,0,0.0,82,2.24,2.24,CA
21,lorengau,-2.02,147.27,85.48,overcast clouds,0,0.0,70,10.89,10.89,PG
22,portland,45.52,-122.68,84.2,broken clouds,0,0.0,48,10.29,10.29,US
23,punta arenas,-53.15,-70.92,28.4,clear sky,0,0.0,92,9.17,9.17,CL
24,cape town,-33.93,18.42,60.01,light rain,0,0.76,81,19.46,19.46,ZA
25,san policarpo,12.18,125.51,83.28,light rain,0,0.51,78,4.7,4.7,PH
26,ushuaia,-54.8,-68.3,35.6,few clouds,0,0.0,80,21.92,21.92,AR
27,nikolskoye,59.7,30.79,64.99,clear sky,0,0.0,72,4.47,4.47,RU
28,hobart,-42.88,147.33,50.0,broken clouds,0,0.0,66,10.29,10.29,AU
29,pringsewu,-5.36,104.97,81.09,overcast clouds,0,0.0,77,3.24,3.24,ID
30,yar,58.25,52.1,53.26,overcast clouds,0,0.0,80,7.56,7.56,RU
31,saint-philippe,-21.36,55.77,68.0,light rain,0,0.29,68,5.82,5.82,RE
32,porto santo,33.07,-16.34,68.0,scattered clouds,0,0.0,82,8.05,8.05,PT
