city_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,khatanga,RU,63.37,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
1,avarua,CK,75.2,-21.21,-159.78,Paradise Inn
2,busselton,AU,61.0,-33.65,115.33,Observatory Guest House
4,rikitea,PF,73.85,-23.12,-134.97,Pension Maro'i
8,hilo,US,82.4,19.73,-155.09,Hilo Hawaiian Hotel
12,yatou,CN,80.92,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
13,maunabo,PR,82.99,18.01,-65.9,Maunacaribe
14,surin,TH,80.6,14.88,103.49,One Fu Hotel
15,dakar,SN,78.8,14.69,-17.44,Novotel Dakar
17,yellowknife,CA,68.0,62.46,-114.35,The Explorer Hotel
18,norman wells,CA,69.8,65.28,-126.83,Heritage Hotel
20,thompson,CA,66.2,55.74,-97.86,Burntwood Hotel
22,portland,US,84.2,45.52,-122.68,Portland Marriott City Center
27,nikolskoye,RU,64.99,59.7,30.79,Tourist House - Sablino
29,pringsewu,ID,81.09,-5.36,104.97,Urban Style by Front One
32,porto santo,PT,68.0,33.07,-16.34,Hotel Porto Santo & Spa
33,altamira,BR,72.39,-3.2,-52.21,Requinte Hotel
34,vaitape,PF,78.6,-16.52,-151.75,Hotel Maitai Polynesia
36,mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
38,vaini,TO,78.8,-21.2,-175.2,Keleti Beach Resort
39,kapaa,US,84.2,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
41,geraldton,AU,64.4,-28.77,114.6,Broadwater Mariner Resort
43,shetpe,KZ,61.93,44.17,52.12,Rtsm Shetpe Analog
44,hambantota,LK,77.0,6.12,81.12,Bungalow 63
47,seoul,KR,77.0,37.57,126.98,LOTTE HOTEL SEOUL
48,arraial do cabo,BR,71.58,-22.97,-42.03,Pousada Porto Praia
49,loralai,PK,82.38,30.37,68.6,City Hotel. Loralai. Blochistan
50,faanui,PF,77.9,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,madison heights,US,79.0,42.49,-83.11,Red Roof Inn Detroit - Royal Oak/Madison Heights
52,college,US,64.99,64.86,-147.8,Pike's Waterfront Lodge
57,jinchang,CN,72.3,38.5,102.17,Mingshihui Jinchang International Hotel
58,tiksi,RU,64.9,71.69,128.87,Arktika
59,wenling,CN,84.0,28.37,121.36,Hanting Express Wenling Wanchang North Road
60,kodiak,US,60.8,57.79,-152.41,Best Western Kodiak Inn and Convention Center
62,albany,US,73.0,42.6,-73.97, 
63,pastavy,BY,61.83,55.12,26.83,"Общежитие УО ""Поставский государственный колледж"""
66,gamba,GA,70.18,-2.65,10.0, 
69,vamvakou,GR,68.0,39.33,22.42,Villa Pappous
70,veracruz,MX,84.99,19.33,-96.67,El Carrizal
72,isangel,VU,77.0,-19.55,169.27,Volcano Sea View Tree House
73,hovd,MN,66.96,48.01,91.64,Hotel Khovd
74,padang,ID,83.98,-0.95,100.35,Mercure Padang
77,mitchell,US,82.4,43.71,-98.03,Kelly Inn & Suites
79,katsuura,JP,82.0,35.13,140.3,Katsuura Hilltop Hotel & Residence
80,atuona,PF,80.1,-9.8,-139.03,Villa Enata
84,ribeira grande,PT,66.4,38.52,-28.7,Quinta da Meia Eira
88,logan lake,CA,71.6,50.5,-120.8,Copper Valley Resort
91,saskylakh,RU,82.69,71.92,114.08, 
93,imeni poliny osipenko,RU,70.25,52.42,136.49,Yubileynaya
94,bethel,US,70.0,41.37,-73.41,Courtyard by Marriott Danbury
95,syracuse,IT,71.6,37.09,15.28,Hotel Posta
97,bangassou,CF,65.37,4.74,22.82, 
98,anchorage,US,64.4,61.22,-149.9,Hotel Captain Cook
100,hasaki,JP,82.0,35.73,140.83,Inubosaki Kanko Hotel
104,sao filipe,CV,73.85,14.9,-24.5,Tortuga B&B
